itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SPIQ24_90X120|Ovalmaschine SPiQ 24 90x120|textile oval screenprinting machine SPiQ 24 90x120|ST|0.0|SPiQ|24
SPIQ26_45X55|Ovalmaschine SPiQ 26 compact 45x55|textile oval screenprinting machine SPiQ 26 45x55|ST|0.0|SPiQ COMPACT|26
SPIQ26_45X55US|Ovalmaschine SPiQ 26 compact 45x55 US|textile oval screenprinting machine SPiQ 26 45x55 |ST|0.0|SPiQ COMPACT US|26
SPIQ26_50X70|Ovalmaschine SPiQ 26 50x70|textile oval screenprinting machine SPiQ 26 50x70|ST|50233.8|SPiQ|26
SPIQ26_70X100|Ovalmaschine SPiQ 26 70x100|textile oval screenprinting machine SPiQ 26 70x100|ST|47124.48|SPiQ|26
SPIQ26_70X100US|Ovalmaschine SPiQ 26 70x100 US|textile oval screenprinting machine SPiQ 26 70x100|ST|48472.47|SPiQ US|26
SPIQ26_80X110|Ovalmaschine SPiQ 26 80x110|textile oval screenprinting machine SPiQ 26 80x110|ST|0.0|SPiQ|26
SPIQ26_90X120|Ovalmaschine SPiQ 26 90x120|textile oval screenprinting machine SPiQ 26 90x120|ST|0.0|SPiQ|26
SPIQ28_45X55|Ovalmaschine SPiQ 28 compact 45x55|textile oval screenprinting machine SPiQ 28 45x55|ST|0.0|SPiQ COMPACT|28
SPIQ28_45X55US|Ovalmaschine SPiQ 28 compact 45x55 US|textile oval screenprinting machine SPiQ 28 45x55 |ST|0.0|SPiQ COMPACT US|28
SPIQ28_50X70|Ovalmaschine SPiQ 28 50x70|textile oval screenprinting machine SPiQ 28 50x70|ST|50059.23|SPiQ|28
SPIQ28_70X100|Ovalmaschine SPiQ 28 70x100|textile oval screenprinting machine SPiQ 28 70x100|ST|53650.15|SPiQ|28
SPIQ28_80X110|Ovalmaschine SPiQ 28 80x110|textile oval screenprinting machine SPiQ 28 80x110|ST|50953.89|SPiQ|28
SPIQ30_45X55|Ovalmaschine SPiQ 30 compact 45x55|textile oval screenprinting machine SPiQ 30 45x55|ST|0.0|SPiQ COMPACT|30
SPIQ30_45X55US|Ovalmaschine SPiQ 30 compact 45x55 US|textile oval screenprinting machine SPiQ 30 45x55 |ST|0.0|SPiQ COMPACT US|30
SPIQ30_50X70|Ovalmaschine SPiQ 30 50x70|textile oval screenprinting machine SPiQ 30 50x70|ST|0.0|SPiQ|30
SPIQ30_70X100|Ovalmaschine SPiQ 30 70x100|textile oval screenprinting machine SPiQ 30 70x100|ST|56389.47|SPiQ|30
SPIQ30_80X110|Ovalmaschine SPiQ 30 80x110|textile oval screenprinting machine SPiQ 30 80x110|ST|0.0|SPiQ|30
SPIQ32_45X55|Ovalmaschine SPiQ 32 compact 45x55|textile oval screenprinting machine SPiQ 32 45x55|ST|0.0|SPiQ COMPACT|32
SPIQ32_45X55US|Ovalmaschine SPiQ 32 compact 45x55 US|textile oval screenprinting machine SPiQ 32 45x55 |ST|0.0|SPiQ COMPACT US|32
SPIQ32_50X70|Ovalmaschine SPiQ 32 50x70|textile oval screenprinting machine SPiQ 32 50x70|ST|57331.51|SPiQ|32
SPIQ32_70X100|Ovalmaschine SPiQ 32 70x100|textile oval screenprinting machine SPiQ 32 70x100|ST|61714.77|SPiQ|32
SPIQ32_70X100US|Ovalmaschine SPiQ 32 70x100 US|textile oval screenprinting machine SPiQ 32 70x100|ST|0.0|SPiQ US|32
SPIQ32_80X110|Ovalmaschine SPiQ 32 80x110|textile oval screenprinting machine SPiQ 32 80x110|ST|54459.08|SPiQ|32
SPIQ34_45X55|Ovalmaschine SPiQ 34 compact 45x55|textile oval screenprinting machine SPiQ 34 45x55|ST|0.0|SPiQ COMPACT|34
SPIQ34_45X55US|Ovalmaschine SPiQ 34 compact 45x55 US|textile oval screenprinting machine SPiQ 34 45x55 |ST|0.0|SPiQ COMPACT US|34
SPIQ34_50X70|Ovalmaschine SPiQ 34 50x70|textile oval screenprinting machine SPiQ 34 50x70|ST|61231.92|SPiQ|34
SPIQ34_70X100|Ovalmaschine SPiQ 34 70x100|textile oval screenprinting machine SPiQ 34 70x100|ST|63613.68|SPiQ|34
SPIQ34_80X110|Ovalmaschine SPiQ 34 80x110|textile oval screenprinting machine SPiQ 34 80x110|ST|0.0|SPiQ|34
SPIQ36_45X55|Ovalmaschine SPiQ 36 compact 45x55|textile oval screenprinting machine SPiQ 36 45x55|ST|0.0|SPiQ COMPACT|36
SPIQ36_45X55US|Ovalmaschine SPiQ 36 compact 45x55 US|textile oval screenprinting machine SPiQ 36 45x55 |ST|0.0|SPiQ COMPACT US|36
SPIQ36_50X70|Ovalmaschine SPiQ 36 50x70|textile oval screenprinting machine SPiQ 36 50x70|ST|64189.72|SPiQ|36
SPIQ36_70X100|Ovalmaschine SPiQ 36 70x100|textile oval screenprinting machine SPiQ 36 70x100|ST|0.0|SPiQ|36
SPIQ36_80X110|Ovalmaschine SPiQ 36 80x110|textile oval screenprinting machine SPiQ 36 80x110|ST|69402.96|SPiQ|36
SPIQ38_45X55|Ovalmaschine SPiQ 38 compact 45x55|textile oval screenprinting machine SPiQ 38 45x55|ST|0.0|SPiQ COMPACT|38
SPIQ38_45X55US|Ovalmaschine SPiQ 38 compact 45x55 US|textile oval screenprinting machine SPiQ 38 45x55 |ST|0.0|SPiQ COMPACT US|38
SPIQ38_50X70|Ovalmaschine SPiQ 38 50x70|textile oval screenprinting machine SPiQ 38 50x70|ST|0.0|SPiQ|38
SPIQ38_70X100|Ovalmaschine SPiQ 38 70x100|textile oval screenprinting machine SPiQ 38 70x100|ST|0.0|SPiQ|38
SPIQ38_80X110|Ovalmaschine SPiQ 38 80x110|textile oval screenprinting machine SPiQ 38 80x110|ST|0.0|SPiQ|38
